,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene,pct.diff
COX7B,3.02E-15,0.338955483,0.955,0.825,4.31E-11,1,COX7B,0.13
AMZ2,3.16E-15,0.333939449,0.433,0.125,4.51E-11,1,AMZ2,0.308
SURF1,3.38E-15,0.327126812,0.491,0.168,4.82E-11,1,SURF1,0.323
NAPRT,3.38E-15,0.386932332,0.54,0.209,4.82E-11,1,NAPRT,0.331
SH3BGRL,3.41E-15,0.379642377,0.835,0.613,4.87E-11,1,SH3BGRL,0.222
ATF6B,3.63E-15,0.328102324,0.473,0.155,5.19E-11,1,ATF6B,0.318
C19orf81,3.98E-15,0.259540849,0.29,0.04,5.68E-11,1,C19orf81,0.25
CRELD2,4.19E-15,0.337001845,0.473,0.158,5.97E-11,1,CRELD2,0.315
DERL2,4.28E-15,0.357435524,0.433,0.138,6.11E-11,1,DERL2,0.295
CKS1B,4.50E-15,0.309560342,0.433,0.125,6.42E-11,1,CKS1B,0.308
CHMP2A,4.53E-15,0.298893205,0.879,0.697,6.46E-11,1,CHMP2A,0.182
SERPINH1,4.63E-15,0.355862549,0.585,0.226,6.61E-11,1,SERPINH1,0.359
DCTPP1,4.84E-15,0.341175003,0.424,0.128,6.91E-11,1,DCTPP1,0.296
MRPL28,5.49E-15,0.374543198,0.446,0.148,7.84E-11,1,MRPL28,0.298
HORMAD1,6.19E-15,0.301194949,0.281,0.04,8.83E-11,1,HORMAD1,0.241
PPP1R11,6.29E-15,0.332967208,0.473,0.162,8.97E-11,1,PPP1R11,0.311
EIF4E2,6.85E-15,0.352195653,0.464,0.162,9.78E-11,1,EIF4E2,0.302
GPAA1,7.39E-15,0.352290346,0.496,0.172,1.05E-10,1,GPAA1,0.324
NUDT16L1,7.39E-15,0.331820093,0.433,0.131,1.05E-10,1,NUDT16L1,0.302
ADGRF1,7.63E-15,0.391382509,0.393,0.101,1.09E-10,1,ADGRF1,0.292
RPS27,7.63E-15,0.353801395,1,1,1.09E-10,1,RPS27,0
PGLS,8.35E-15,0.360648409,0.576,0.246,1.19E-10,1,PGLS,0.33
SERPINA1,8.44E-15,0.942027092,0.848,0.667,1.20E-10,1,SERPINA1,0.181
NUPR1,8.49E-15,0.460887399,0.835,0.613,1.21E-10,1,NUPR1,0.222
CENPX,9.09E-15,0.396278454,0.478,0.172,1.30E-10,1,CENPX,0.306
TAGLN2,9.69E-15,0.434943106,0.973,0.896,1.38E-10,1,TAGLN2,0.077
LSM2,1.00E-14,0.3213068,0.504,0.182,1.43E-10,1,LSM2,0.322
B3GNT8,1.03E-14,0.297169329,0.344,0.074,1.47E-10,1,B3GNT8,0.27
ACP1,1.03E-14,0.368903647,0.603,0.266,1.48E-10,1,ACP1,0.337
CD47,1.08E-14,0.388276134,0.915,0.751,1.53E-10,1,CD47,0.164
DNASE2,1.19E-14,0.323816759,0.424,0.125,1.69E-10,1,DNASE2,0.299
