"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"HSP90AB1",1.18743068753899e-15,0.254481810629594,0.808,0.703,2.65485753119968e-11,"3","HSP90AB1",0.105
"NOP53",1.20033543925789e-15,0.261900809810622,0.706,0.596,2.68370997509278e-11,"3","NOP53",0.11
"AGPAT21",1.73114604567918e-15,0.471506352598737,0.478,0.338,3.87049632892951e-11,"3","AGPAT2",0.14
"CNIH4",1.9630935198851e-15,0.276179429279496,0.478,0.325,4.3890844917591e-11,"3","CNIH4",0.153
"DDRGK1",2.1825149097769e-15,0.269937727562103,0.493,0.328,4.87966683527918e-11,"3","DDRGK1",0.165
"CTTN",2.24294819882319e-15,0.346517614652349,0.503,0.325,5.01478358292889e-11,"3","CTTN",0.178
"VPS25",3.2071532046946e-15,0.274813665797158,0.351,0.212,7.17055313505618e-11,"3","VPS25",0.139
"TOMM20",3.30888280639213e-15,0.252319997658775,0.58,0.409,7.39800017853154e-11,"3","TOMM20",0.171
"KDELR2",4.29042968583847e-15,0.287484756376946,0.597,0.434,9.59254269159764e-11,"3","KDELR2",0.163
"POLR2C",7.5907757325041e-15,0.312966083167458,0.415,0.267,1.69714563827327e-10,"3","POLR2C",0.148
"ELOB",8.42990694039214e-15,0.314907921534072,0.726,0.613,1.88475859373287e-10,"3","ELOB",0.113
"PEBP1",1.1730953045906e-14,0.377861716700128,0.75,0.609,2.62280648200367e-10,"3","PEBP1",0.141
"ETFB",1.51296463601065e-14,0.307485979235389,0.505,0.346,3.38268633319261e-10,"3","ETFB",0.159
"LAMB3",1.60460399695353e-14,0.270739119857863,0.307,0.17,3.58757361638871e-10,"3","LAMB3",0.137
"HSPA5",1.75468737862842e-14,0.336034275637803,0.674,0.532,3.92313004113743e-10,"3","HSPA5",0.142
"PRELID1",2.5014050895944e-14,0.273713728783972,0.557,0.398,5.59264149931516e-10,"3","PRELID1",0.159
"HLA-DRA",2.55678728178672e-14,0.345165437322491,0.914,0.859,5.71646500461876e-10,"3","HLA-DRA",0.055
"ERGIC3",2.56766617531673e-14,0.253414303350805,0.553,0.387,5.74078803477314e-10,"3","ERGIC3",0.166
"DDAH1",3.00450339230836e-14,0.328794146058518,0.328,0.187,6.71746868452304e-10,"3","DDAH1",0.141
"KRAS",4.82487181718927e-14,0.255097884399291,0.328,0.184,1.07874484088718e-09,"3","KRAS",0.144
"BEX3",5.13236916374035e-14,0.335431040890409,0.628,0.502,1.14749509762907e-09,"3","BEX3",0.126
"IL1R1",5.51054693417972e-14,0.279810702984176,0.403,0.253,1.2320480835439e-09,"3","IL1R1",0.15
"MZT2B",8.45484979605574e-14,0.314378061802355,0.62,0.473,1.89033531740214e-09,"3","MZT2B",0.147
"EEF1D",1.32330393036979e-13,0.253038100720629,0.82,0.702,2.95864292752077e-09,"3","EEF1D",0.118
"PRR13",1.76689836507481e-13,0.286906167706405,0.549,0.405,3.95043136463425e-09,"3","PRR13",0.144
"CTNNA11",2.37156475532524e-13,0.254944050485837,0.568,0.405,5.30234447995618e-09,"3","CTNNA1",0.163
"GADD45G1",2.40585893501515e-13,0.338048420745233,0.401,0.248,5.37901940690688e-09,"3","GADD45G",0.153
"ARHGDIB1",2.64429694433202e-13,0.343544091240481,0.653,0.54,5.91211910813752e-09,"3","ARHGDIB",0.113
"HLA-DQA2",2.67963140064916e-13,0.31700842278858,0.392,0.263,5.9911198855714e-09,"3","HLA-DQA2",0.129
"TCEAL4",3.24292843958673e-13,0.285927382944749,0.574,0.416,7.25053940522801e-09,"3","TCEAL4",0.158
"ADI1",3.5974156061785e-13,0.310038541384084,0.557,0.388,8.04310181229388e-09,"3","ADI1",0.169
"SNX27",6.85702232609003e-13,0.32204187623929,0.269,0.149,1.53309305166721e-08,"3","SNX27",0.12
"HLA-DQB1",7.2772189470464e-13,0.282081994098734,0.653,0.515,1.62704061218063e-08,"3","HLA-DQB1",0.138
"TRAPPC1",8.38337846109338e-13,0.274264250371253,0.58,0.436,1.87435575633126e-08,"3","TRAPPC1",0.144
"MT-ND4",8.48275693027857e-13,0.274284633292122,0.889,0.952,1.89657479447168e-08,"3","MT-ND4",-0.0629999999999999
"BLVRB1",1.34751824883622e-12,0.279764354771649,0.539,0.377,3.01278130074801e-08,"3","BLVRB",0.162
"CD631",1.5570387035245e-12,0.302754733950492,0.883,0.794,3.48122713334007e-08,"3","CD63",0.089
"HLA-DPA11",3.1512874409197e-12,0.389073540579693,0.806,0.729,7.04564846040826e-08,"3","HLA-DPA1",0.0770000000000001
"RNF5",3.66453358463419e-12,0.253760234566585,0.384,0.255,8.19316418852512e-08,"3","RNF5",0.129
"TMBIM6",3.83540463631801e-12,0.289928352903086,0.781,0.686,8.57519768587981e-08,"3","TMBIM6",0.095
"TMEM59",4.24551279691709e-12,0.286704135892456,0.726,0.627,9.49211751134723e-08,"3","TMEM59",0.099
"NEDD4L",4.34125678087008e-12,0.25759941431497,0.44,0.29,9.70618191066933e-08,"3","NEDD4L",0.15
"ATP5MC3",4.37785515749623e-12,0.264351007559285,0.637,0.488,9.78800856113007e-08,"3","ATP5MC3",0.149
"ASRGL1",5.25685887295751e-12,0.263540948401373,0.299,0.185,1.17532850681584e-07,"3","ASRGL1",0.114
"NEAT1",5.92225725188883e-12,0.640772934484388,0.793,0.705,1.3240982763773e-07,"3","NEAT1",0.0880000000000001
"UFC1",1.14636144432353e-11,0.268137984934638,0.555,0.398,2.56303491721855e-07,"3","UFC1",0.157
"HLA-DPB11",1.42861679759054e-11,0.360005435417002,0.783,0.677,3.19410143605293e-07,"3","HLA-DPB1",0.106
"SSR2",1.84171802598575e-11,0.318252424386057,0.685,0.56,4.11771316249894e-07,"3","SSR2",0.125
"TCIM1",2.16974835767129e-11,0.339996889272409,0.739,0.567,4.85112337808147e-07,"3","TCIM",0.172
"LMAN1",2.35250373833271e-11,0.282810358282486,0.457,0.309,5.25972785816428e-07,"3","LMAN1",0.148
"PHPT11",2.60032515104442e-11,0.3015519469364,0.595,0.463,5.81380697270511e-07,"3","PHPT1",0.132
"CDK2AP21",3.93728062321555e-11,0.281441809045092,0.478,0.334,8.80297201738533e-07,"3","CDK2AP2",0.144
"GSPT1",4.2063126242393e-11,0.28732544385884,0.472,0.322,9.40447376527423e-07,"3","GSPT1",0.15
"CREG1",6.3729227234635e-11,0.264492510000356,0.415,0.274,1.42485806251197e-06,"3","CREG1",0.141
"NAA38",8.67212200158661e-11,0.255016838982749,0.574,0.431,1.93891303711473e-06,"3","NAA38",0.143
"EIF2A",1.64036035301712e-10,0.258049447926286,0.401,0.263,3.66751767727567e-06,"3","EIF2A",0.138
"S100A131",1.66782805003378e-10,0.268417361006798,0.595,0.454,3.72892995426553e-06,"3","S100A13",0.141
"HSD17B61",2.00307480674277e-10,0.396034417208847,0.38,0.265,4.47847465291549e-06,"3","HSD17B6",0.115
"ATP11A1",2.11392974163579e-10,0.313920230303993,0.39,0.262,4.72632411634929e-06,"3","ATP11A",0.128
"HLA-DRB11",2.64742863970812e-10,0.316599909022943,0.823,0.733,5.91912095265942e-06,"3","HLA-DRB1",0.09
"HLA-DRB51",2.88464343040756e-10,0.394644212683714,0.685,0.598,6.44948578170521e-06,"3","HLA-DRB5",0.0870000000000001
"SLC22A311",3.32486578321951e-10,0.253653838249102,0.28,0.171,7.43373491812218e-06,"3","SLC22A31",0.109
"APRT",7.46933722637517e-10,0.256073382107456,0.589,0.446,1.66999441707296e-05,"3","APRT",0.143
"SFTPD1",1.48305954065579e-09,0.263117494476155,0.635,0.439,3.31582452099821e-05,"3","SFTPD",0.196
"CXCL8",3.36196864902451e-09,0.747033434600292,0.386,0.267,7.51668950548899e-05,"3","CXCL8",0.119
"ERRFI11",5.28387082283538e-08,0.309994436178561,0.474,0.354,0.00118136783856953,"3","ERRFI1",0.12
"COX141",6.61010093786442e-08,0.276456857323633,0.536,0.411,0.00147788636768773,"3","COX14",0.125
"COA31",1.81633107782462e-07,0.257755201338153,0.461,0.348,0.00406095302380028,"3","COA3",0.113
"ERP291",9.52470727051558e-07,0.290309883678547,0.601,0.474,0.0212953405154187,"3","ERP29",0.127
"DCN",0,4.08850673052644,0.949,0.03,0,"4","DCN",0.919
"LUM",0,3.78250006890678,0.825,0.027,0,"4","LUM",0.798
"COL1A2",0,3.04150269352114,0.839,0.014,0,"4","COL1A2",0.825
"ACTA2",0,3.03055045581552,0.711,0.049,0,"4","ACTA2",0.662
"TAGLN",0,3.01642810763211,0.821,0.082,0,"4","TAGLN",0.739
"FBLN1",0,2.78763404727243,0.623,0.015,0,"4","FBLN1",0.608
"BGN",0,2.68650398151621,0.817,0.029,0,"4","BGN",0.788
"MFAP4",0,2.65299604288555,0.75,0.011,0,"4","MFAP4",0.739
"COL1A1",0,2.59020194112212,0.664,0.045,0,"4","COL1A1",0.619
"CCDC80",0,2.48495222361399,0.554,0.045,0,"4","CCDC80",0.509
"COL3A1",0,2.45997368034637,0.697,0.013,0,"4","COL3A1",0.684
"RARRES2",0,2.41683119111952,0.853,0.149,0,"4","RARRES2",0.704
"ADH1B",0,2.29079787494882,0.652,0.007,0,"4","ADH1B",0.645
"C1S",0,2.28698026629302,0.774,0.124,0,"4","C1S",0.65
"TPM2",0,2.21159351556839,0.776,0.027,0,"4","TPM2",0.749
"INMT",0,2.18387354991617,0.68,0.039,0,"4","INMT",0.641
"CALD11",0,2.1343284235022,0.888,0.178,0,"4","CALD1",0.71
"COL6A2",0,2.10366361404115,0.794,0.052,0,"4","COL6A2",0.742
"SFRP4",0,2.10267748628614,0.466,0.006,0,"4","SFRP4",0.46
"PRELP",0,2.03399892356631,0.715,0.008,0,"4","PRELP",0.707
"ITGBL1",0,1.96221815890045,0.619,0.004,0,"4","ITGBL1",0.615
"COL6A3",0,1.93552714158182,0.625,0.006,0,"4","COL6A3",0.619
"MMP2",0,1.92986029593083,0.656,0.032,0,"4","MMP2",0.624
"AEBP1",0,1.92354086335803,0.707,0.027,0,"4","AEBP1",0.68
"ELN",0,1.86810305322932,0.635,0.044,0,"4","ELN",0.591
"NBL1",0,1.82840844047327,0.703,0.047,0,"4","NBL1",0.656
"LTBP2",0,1.80227643954962,0.627,0.009,0,"4","LTBP2",0.618
"PPP1R14A",0,1.80073276634457,0.572,0.03,0,"4","PPP1R14A",0.542
"SCN7A",0,1.70999778213013,0.552,0.002,0,"4","SCN7A",0.55
"PLAC9",0,1.70617560003371,0.711,0.035,0,"4","PLAC9",0.676
"TCF21",0,1.68668842278658,0.574,0.003,0,"4","TCF21",0.571
"ASPN",0,1.66400700162842,0.472,0.002,0,"4","ASPN",0.47
"DPT",0,1.65578583607996,0.55,0.005,0,"4","DPT",0.545
"COL6A1",0,1.65123064083071,0.684,0.064,0,"4","COL6A1",0.62
"NEXN",0,1.64221924955167,0.67,0.036,0,"4","NEXN",0.634
"THY1",0,1.60511434886345,0.534,0.011,0,"4","THY1",0.523
"PCOLCE",0,1.54387300469329,0.635,0.016,0,"4","PCOLCE",0.619
"WISP2",0,1.53202771828189,0.407,0.003,0,"4","WISP2",0.404
"DKK3",0,1.52095596007967,0.642,0.036,0,"4","DKK3",0.606
"CRISPLD2",0,1.51960408302962,0.633,0.009,0,"4","CRISPLD2",0.624
"PALLD",0,1.44887748602106,0.664,0.053,0,"4","PALLD",0.611
"COL14A1",0,1.43771010354507,0.43,0.002,0,"4","COL14A1",0.428
"PLEKHH2",0,1.43267515950108,0.528,0.039,0,"4","PLEKHH2",0.489
"FIBIN",0,1.36230985622427,0.513,0.003,0,"4","FIBIN",0.51
"MYH10",0,1.3293767862125,0.57,0.047,0,"4","MYH10",0.523
"FXYD1",0,1.32182531101275,0.635,0.019,0,"4","FXYD1",0.616
"LAMB1",0,1.30835766444009,0.566,0.03,0,"4","LAMB1",0.536
"MXRA8",0,1.28784918929673,0.637,0.008,0,"4","MXRA8",0.629
"CDH11",0,1.28030526363445,0.487,0.015,0,"4","CDH11",0.472
"CAMK2N1",0,1.2588217181643,0.466,0.002,0,"4","CAMK2N1",0.464
"LRP1",0,1.24665225185665,0.576,0.047,0,"4","LRP1",0.529
"AOC3",0,1.23136583639068,0.495,0.023,0,"4","AOC3",0.472
"FBN1",0,1.22799344666354,0.495,0.021,0,"4","FBN1",0.474
"NR2F1",0,1.22742100309339,0.53,0.01,0,"4","NR2F1",0.52
"LTBP1",0,1.18201884121397,0.523,0.019,0,"4","LTBP1",0.504
"FRZB",0,1.1602771467269,0.43,0.003,0,"4","FRZB",0.427
"IGF1",0,1.14289231937304,0.373,0.01,0,"4","IGF1",0.363
"PODN",0,1.13505071993522,0.452,0.01,0,"4","PODN",0.442
"PDGFRB",0,1.11072547285128,0.456,0.001,0,"4","PDGFRB",0.455
"EMILIN1",0,1.10345897325884,0.532,0.003,0,"4","EMILIN1",0.529
"SSPN",0,1.08898240010262,0.517,0.021,0,"4","SSPN",0.496
"PDGFRA",0,1.08837117022126,0.473,0.002,0,"4","PDGFRA",0.471
"OLFML3",0,1.07097126454142,0.509,0.009,0,"4","OLFML3",0.5
"COL5A2",0,1.04532876761128,0.47,0.003,0,"4","COL5A2",0.467
"CCDC102B",0,1.03512063526803,0.462,0.012,0,"4","CCDC102B",0.45
"ANGPT1",0,1.02510707145766,0.438,0.002,0,"4","ANGPT1",0.436
